,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
BARBUNYA,240,0,20,0,1,1,3
BOMBAY,0,104,0,0,0,0,0
CALI,7,0,315,0,2,0,2
DERMASON,0,0,0,660,0,7,42
HOROZ,2,0,3,2,371,0,8
SEKER,4,0,0,5,0,387,10
SIRA,2,0,3,50,10,9,453
