,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
BARBUNYA,213,1,43,0,3,0,5
BOMBAY,0,104,0,0,0,0,0
CALI,21,1,298,0,5,0,1
DERMASON,1,0,0,631,1,18,58
HOROZ,1,0,5,2,372,0,6
SEKER,4,0,0,4,0,384,14
SIRA,5,0,2,41,14,13,452
