ML Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9291222915901579,0.9947672730205074,0.9290893252315919,0.9291222915901579,0.9289935325463282,0.914325540927645
Random Forest,0.9269188395152406,0.9940216846892277,0.9267623738702828,0.9269188395152406,0.9266123500176681,0.9116641254944291
kNN,0.9261843554902681,0.9879266012825553,0.9264007076333046,0.9261843554902681,0.9260329947433413,0.910771414932751
Decision Tree,0.9026808666911494,0.9404895723578828,0.9023032858411233,0.9026808666911494,0.9023593748272074,0.8824206357123549
Naive Bayes,0.9012118986412045,0.9917202313238618,0.9015953839480121,0.9012118986412045,0.900997188711075,0.8808763197977117
