,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
BARBUNYA,237,1,20,0,4,0,3
BOMBAY,0,104,0,0,0,0,0
CALI,8,0,307,0,9,0,2
DERMASON,0,0,0,670,0,9,30
HOROZ,2,0,3,1,366,0,14
SEKER,2,0,0,7,0,391,6
SIRA,3,0,1,57,8,9,449
