,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
BARBUNYA,227,1,28,0,4,3,2
BOMBAY,0,104,0,0,0,0,0
CALI,16,0,301,0,8,0,1
DERMASON,0,0,0,646,2,13,48
HOROZ,4,0,5,1,366,0,10
SEKER,5,0,0,12,0,378,11
SIRA,6,0,6,55,13,11,436
